iter	Passed	Remaining
682	71286	33085
683	71411	32991
684	71511	32884
685	71651	32796
686	71784	32705
687	71914	32612
688	72031	32513
689	72118	32401
690	72248	32307
691	72364	32208
692	72546	32138
693	72713	32060
694	72841	31966
695	72954	31865
696	73077	31768
697	73180	31662
698	73331	31577
699	73638	31559
700	73784	31471
701	73941	31388
702	74067	31291
703	74195	31195
704	74288	31085
705	74375	30972
706	74510	30879
707	74694	30806
708	74832	30714
709	74918	30600
710	74994	30482
711	75076	30367
712	75152	30250
713	75277	30153
714	75407	30057
715	75510	29951
716	75614	29844
717	75721	29740
718	75794	29622
719	75911	29521
720	75985	29403
721	76093	29299
722	76188	29189
723	76298	29086
724	76389	28975
725	76509	28875
726	76603	28765
727	76694	28655
728	76770	28538
729	76854	28425
730	76927	28308
731	77025	28200
732	77108	28087
733	77203	27978
734	77321	27877
735	77439	27777
736	77544	27672
737	77651	27567
738	77744	27457
739	77843	27350
740	77939	27242
741	78033	27132
742	78188	27044
743	78348	26958
744	78539	26882
745	78708	26798
746	78854	26707
747	79013	26619
748	79208	26543
749	79329	26443
750	79541	26372
751	79662	26271
752	79763	26164
753	79864	26056
754	79959	25946
755	80040	25833
756	80125	25720
757	80195	25603
758	80278	25490
759	80353	25374
760	80430	25260
761	80503	25144
762	80597	25034
763	80672	24919
764	80753	24806
765	80831	24692
766	80904	24577
767	80988	24465
768	81062	24350
769	81142	24237
770	81218	24123
771	81293	24008
772	81384	23899
773	81459	23785
774	81553	23676
775	81614	23558
776	81683	23443
777	81788	23338
778	81883	23230
779	81980	23122
780	82048	23007
781	82123	22893
782	82206	22782
783	82294	22673
784	82371	22560
785	82437	22444
786	82506	22330
787	82577	22216
788	82643	22101
789	82719	21988
790	82784	21873
791	82852	21759
792	82941	21650
793	83016	21538
794	83083	21423
795	83147	21309
796	83222	21197
797	83297	21085
798	83394	20979
799	83462	20865
800	83532	20752
801	83602	20639
802	83676	20528
803	83750	20416
804	83816	20303
805	83895	20193
806	84039	20098
807	84120	19989
808	84190	19876
809	84254	19763
810	84327	19652
811	84406	19542
812	84476	19430
